,Index,Company Name,Symbol,Sector,Industry
1364,2282,iShr MSCI EU IMI Idx,XEU,,
1365,2284,iShr MSCI EU IMI CAD,XEH,,
1366,2286,iShare MSCI World Un,XWD,,
1367,2288,iShare NASDAQ 100 Un,XQQ,,
1368,2290,iShares MoneyMkt Un,CMR,,
1369,2292,iShare S&P CnsmrDscr,XCD,,
1370,2294,iShr SP Glbl Indstrl,XGI,,
1371,2296,iShr S&P US MidCapUn,XMC,,
1372,2298,iShr S&P USMdCpCADHG,XMH,,
1373,2300,iShares S&P/TSX60 Un,XIU,,
1374,2302,iShr CdnDivAristo Un,CDZ,,
1375,2304,iShares CdnPref Un,CPD,,
1376,2306,iShares Consumr Stpl,XST,,
1377,2308,iShares S&P/TSX Engy,XEG,,
1378,2310,iShares S&P/TSX Fins,XFN,,
1379,2312,iShares S&P/TSX Tech,XIT,,
1380,2314,iShare S&P/TSX Matrl,XMA,,
1381,2316,iShares S&P/TSX REIT,XRE,,
1382,2318,iShares S&P/TSX Util,XUT,,
1383,2320,iShr S&P/TSX Cmpletn,XMD,,
1384,2322,iShr S&P/TSX HiDivUn,XEI,,
1385,2324,iShr SP/TSXGblBseMtl,XBM,,
1386,2326,iShares S&P/TSX Gold,XGD,,
1387,2328,iShr S&PTSX NA PrStk,XPF,,
1388,2330,IShare SP/TSX SmlCap,XCS,,
1389,2332,iShr ShDuratn HighUn,CSD,,
1390,2334,iShares ST CdnBnd Un,XSQ,,
1391,2336,iShr ST StratgFxd Un,XSI,,
1392,2338,iShr Sil Bul Hdgd Un,SVR,,
1393,2339,iShr Sil Bul Nn-Hdgd,SVR.C,,
1394,2341,iShr US HiDiv EqtyUn,XHU,,
1395,2343,iShare US HighDiv Eq,XHD,,
1396,2345,iShares US HiYld Bnd,XHY,,
1397,2347,iShr US HiYldIncm Un,CHB,,
1398,2349,iShare US IG CorpBnd,XIG,,
1399,2351,iShares US Small Cap,XSU,,
1400,2353,iShare US DivGrow Un,CUD,,
1401,2355,Ivanhoe Mines Cl A J,IVN,Basic Materials,Metals & Mining
1402,2357,Jaguar Mining Inc. J,JAG,Basic Materials,Metals & Mining
1403,2359,Jamieson Wellness,JWEL,Consumer Defensive,Consumer Packaged Goods
1404,2361,JFT Strategies A Un,JFS.UN,nan,nan
1405,2363,Journey Energy Inc.,JOY,Energy,Oil & Gas - E&P
1406,2365,June 2020CorpBnd 'T',CBT.UN,nan,nan
1407,2367,Just Energy Group,JE,Utilities,Utilities - Regulated
1408,2368,Just Engy Grp 6.75Db,JE.DB.C,nan,nan
1409,2369,Just Energy 6.75 Deb,JE.DB.D,nan,nan
1410,2370,Just Energy 8.5Pr US,JE.PR.U,Utilities,Utilities - Regulated
1411,2372,K-Bro Linen Inc.,KBL,Industrials,Business Services
1412,2374,Karnalyte Res J,KRN,Basic Materials,Agriculture
1413,2376,Katanga Mining Ltd.,KAT,Basic Materials,Metals & Mining
1414,2378,Keg Royalties Fnd Un,KEG.UN,Consumer Cyclical,Restaurants
1415,2380,Kelso Technologies,KLS,Industrials,Transportation & Logistics
1416,2382,Kelt Expl Ltd. J,KEL,Energy,Oil & Gas - E&P
1417,2383,Kelt Expl 5% Deb J,KEL.DB,nan,nan
1418,2385,Kerr Mines Inc. J,KER,Basic Materials,Metals & Mining
1419,2387,Kew Media VV & Com,KEW,Consumer Cyclical,Entertainment
1420,2388,Kew Media Group Wt,KEW.WT,nan,nan
1421,2390,Keyera Corp.,KEY,Energy,Oil & Gas - Midstream
1422,2392,Killam Apt REIT Un J,KMP.UN,Real Estate,REITs
1423,2394,Kinaxis Inc. J,KXS,Technology,Application Software
1424,2396,Kinder Morgan Cda RV,KML,Energy,Oil & Gas - Midstream
1425,2397,Kinder Morgan Sr1 Pr,KML.PR.A,Energy,Oil & Gas - Midstream
1426,2398,Kinder Morgan Sr3 Pr,KML.PR.C,Energy,Oil & Gas - Midstream
1427,2400,Kinross Gold Corp.,K,Basic Materials,Metals & Mining
1428,2402,Kirkland Lake Gold J,KL,Basic Materials,Metals & Mining
1429,2404,Knight Therapeutics,GUD,Healthcare,Drug Manufacturers
1430,2406,KP Tissue Inc.,KPT,Consumer Defensive,Consumer Packaged Goods
1431,2408,Labrador Iron Ore,LIF,Basic Materials,Steel
1432,2410,Laramide Resources J,LAM,Basic Materials,Metals & Mining
1433,2412,Largo Resources J,LGO,Basic Materials,Metals & Mining
1434,2414,Lassonde Ind Cl A SV,LAS.A,Consumer Defensive,Beverages - Non-Alcoholic
1435,2416,Laurentian Bk of Can,LB,Financial Services,Banks
1436,2417,Laurentian Bk Pr 13,LB.PR.H,Financial Services,Banks
1437,2418,Laurentian Bk Pr 15,LB.PR.J,Financial Services,Banks
1438,2420,Leagold Mng Corp. J,LMC,Basic Materials,Metals & Mining
1439,2422,Leon's Furniture Ltd,LNF,Consumer Cyclical,Manufacturing - Apparel & Furniture
1440,2423,Leon's Furniture Db,LNF.DB,Consumer Cyclical,Manufacturing - Apparel & Furniture
1441,2425,Levon Resources J,LVN,Basic Materials,Metals & Mining
1442,2427,Liberty Gold Corp. J,LGD,Basic Materials,Metals & Mining
1443,2429,Life & Banc Split A,LBS,Financial Services,Asset Management
1444,2430,Life & Banc Split Pr,LBS.PR.A,Financial Services,Asset Management
1445,2432,Lightspeed POS SV,LSPD,Technology,Application Software
1446,2434,Linamar Corporation,LNR,Consumer Cyclical,Autos
1447,2436,Lithium Americas J,LAC,Basic Materials,Metals & Mining
1448,2438,Loblaw Companies Ltd,L,Consumer Defensive,Retail - Defensive
1449,2439,Loblaw Co. Ser B Pr,L.PR.B,Consumer Defensive,Retail - Defensive
1450,2441,Logistec Corp. A MV,LGT.A,Industrials,Transportation & Logistics
1451,2442,Logistec Corp Cl B,LGT.B,Industrials,Transportation & Logistics
1452,2444,Loncor Resources J,LN,Basic Materials,Metals & Mining
1453,2446,Low Voltlty US Eq Un,LVU.UN,nan,nan
1454,2448,Lucara Diamond J,LUC,Basic Materials,Metals & Mining
1455,2450,Lundin Gold Inc. J,LUG,Basic Materials,Metals & Mining
1456,2452,Lundin Mining Corp,LUN,Basic Materials,Metals & Mining
1457,2454,"LXRandCo, Inc. J B",LXR,Consumer Cyclical,Retail - Apparel & Specialty
1458,2455,"LXRandCo, Inc. J Wt",LXR.WT,nan,nan
1459,2457,Lydian Int'l Ord J,LYD,Basic Materials,Metals & Mining
1460,2459,Lysander-SlatrPrActv,PR,,
1461,2461,M Split Corp. 14 Cap,XMF.A,Financial Services,Asset Management
1462,2462,M Split Corp Cl 1 Pr,XMF.PR.B,Financial Services,Asset Management
1463,2463,M Split Corp 14-2 Pr,XMF.PR.C,Financial Services,Asset Management
